obj            B6
J1924-2914      75.81
J1058+0133     164.46
J0522-3627     160.84
J0423-0120     287.00
J1427-4206      51.38
J0510+1800     362.92
J1517-2422      62.91
J0006-0623     173.21
J1751+0939      83.89
J2258-2758     165.57
J1229+0203      14.52
J1256-0547       0.00
J1733-1304     114.67
J0334-4008     396.42
J1107-4449     338.20
J0854+2006       6.99
J1337-1257      12.38
J0238+1636     201.68
J2056-4714      61.47
J0519-4546     130.20
J2148+0657     235.54
J1744-3116     481.07
J0948+0022     587.83
J2253+1608      14.62
J1037-2934     231.68
J0635-7516     154.08
J0348-2749     326.79
J0538-4405      95.81
J0237+2848     194.61
J0239-0234     500.27
J2357-5311     252.43
J0438+3004     233.20
J1617-5848     179.67
J0601-7036     387.92
J0750+1231     176.78
J1625-2527     124.91
J2000-1748      62.90
J1610-3958     216.18
J1851+0035     196.59
J0607-0834     106.36
J0336+3218     156.31
J1550+0527      87.65
J1351-2912      60.13
J0532+0732      35.35
J1832-2039      66.98
J1010-0200     192.66
J0038-2459      74.19
J0725-0054      34.80
J0426+2327     200.31
J0904-5735      50.80
J1717-3342     115.63
J1047-6217     104.12
J0217-0820     103.66
J2353-3037      10.89
J0541-0541     103.91
J2232+1143      18.17
J1316-3338       8.87
J1733-3722      93.88
J1633-2557     142.97
J1058-8003      42.91
J2226+0052     100.30
J1700-2610      32.97
J2025-2845      85.76
J1832-1035      55.36
J0440-6952       6.45
J1650-5044       8.47
J0501-0159      20.14
J0450-8101       0.00
J0529-7245      48.74
J0521+2112      15.32
J0440+1437      93.48
J1215+1654      61.49
J1410+0203      81.61
J0730-1141       4.44
J1534-3526      86.82
J1938+0448      81.53
J1955+1358      29.97
J0542-0913      75.18
J1002+1216      90.18
J2025+3343      39.38
J1145-6954      89.63
J0431+1731      79.73
J0241-0815      62.14
J1912-0804      79.03
J1254-4424      78.98
J1937+0734       0.00
J1147-6753      44.62
J0512+2927      76.75
J0541-0211      71.65
J1008+0621      72.32
J0326-3243      63.39
J0102-7546      16.53
J1830+0619      53.63
J0552+0313      56.45
J1339-2401      63.05
J1337-6509      58.40
J1042-4143      17.74
J1924+1540      60.58
J2248-3235      39.80
J2230-4416      40.44
J1826-2924      56.48
J0909+0121      49.81
J1922+1530      40.87
J1215-1731      44.08
J0224+0659      10.37
J0112+3208      26.61
J1342-2900      44.50
J1905+0952      54.63
J2134-0153      16.45
J0132-1654       6.18
J0701-4634      38.88
J1036-3744      51.48
J1103+1158      30.79
J2323-0317      26.96
J1419-0838      37.46
J1336-3357       9.90
J1911-2006       3.23
J1603-4904      29.84
J0228-0337      38.00
J0431+2037      10.48
J1220+0203      30.48
J1651+0129      47.98
J1743-0350       4.98
J1551-1755      20.50
J1604-4441      12.90
J0215-0222      43.01
J0329-2357      41.23
J0825+0309      41.10
J1755-2232      46.27
J0656-0323      44.22
J0205+3212      35.03
J1424-6807       2.96
J2348-1631      13.14
J1706-4600      44.82
J0339-0146       5.63
J0313+4120      44.13
J1626-2951      15.42
J0532-0307      42.60
J1752-2956      42.19
J1347+1217      17.46
J0340-2119      13.31
J0643+0857      40.29
J1825-1718      41.08
J0342-3007      40.98
J1720-3552       5.44
J0108+0135      18.93
J2051+1743       5.38
J0202-1948       0.00
J0516-6207      15.99
J1319-0049      26.61
J0409+1217      39.51
J2359-3133      23.79
J0204-1701      22.75
J1224+2122       0.00
J0700-6610       7.66
J1308-6707      17.34
J1540+1447       6.01
J1246-0730      28.88
J1159+2914       7.26
J0529-0519      36.49
J0425-5331       9.31
J1044+0655      26.88
J0121+1149      11.29
J1802-3940       1.21
J1524-5903      25.00
J1553-2422      35.45
J1157+1638      32.10
J1218-0119      23.99
J1132-5606       4.44
J2335-0131      17.84
J1222+0413      10.99
J1711-3744      32.29
J0327-2202      33.87
J1232-0224      33.58
J0309-6058      28.34
J1303+2433      21.77
J1619+2247      29.95
J1427+2348      18.21
J1254+1141      28.43
J1653-1551      27.82
J1051-3138      30.22
J1826-3650      19.89
J1743-1658      28.69
J2323-0617      29.84
J2257+0743      19.76
J2156-0037      24.38
J2345-1555      22.70
J1834-0301      23.84
J0927-2034       9.27
J1331+3030      22.92
J1824+0119      29.03
J0208-0047      22.48
J0217+0144      13.61
J1946-5812      27.97
J1532+2344      27.67
J1032-5917      27.46
J0219+0120      23.79
J1239+0730      17.84
J1104-2431      27.22
J1829-5813       5.04
J1657-2004      27.06
J2101+0341       5.64
J0922-0529      26.61
J0257-1212      26.49
J0011-2612      26.34
J1126-3828      13.71
J1329-5608       6.94
J0702-1951       3.23
J2328-4035      19.08
J0239+0416      10.35
J1557-0001      22.61
J1419+3821      25.40
J1505+0326      21.62
J1206-6138      25.08
