obj B3 B4 B5 B6 B7 B8 B9 B10
J1924+1540 4469.0 0 0 4254.500000000002 0 0 0 0
J2309-3059 514.0 272.2 0 393.5 0 0 0 0
J1617-2537 0 0 0 151.2 0 0 0 0
J1516+1932 1958.6 302.29999999999995 231.89999999999998 318.4 2011.7 2357.7000000000003 2887.7 0
J0228-0337 2751.3999999999996 0 0 3598.200000000001 0 0 0 0
J0409+1217 302.4 90.7 0 2849.0000000000014 0 0 0 0
J1038-4325 2055.3999999999996 0 0 0 0 0 0 0
J1242+0941 1724.1000000000001 0 0 0 0 0 0 0
J0455-4615 604.9000000000001 0 0 619.0 382.9 520.1 0 0
J0339-0146 7782.299999999999 0 302.4 3511.5 4820.0 0 0 0
J1215+1654 2684.4 151.2 0 7009.4 1058.3999999999999 0 0 0
J1419-0838 397.09999999999997 0 242.20000000000002 3991.5 0 0 0 0
J1254-4743 211.7 0 0 0 0 0 0 0
J0112+3522 0 0 0 1252.1000000000004 0 0 0 0
J1339-2401 0 0 0 5716.000000000004 0 0 0 0
J1626-2951 1698.9 1179.2 0 3234.8000000000006 19345.100000000002 0 2161.6 0
J1147-6753 1634.2999999999997 0 181.39999999999998 5939.500000000003 3011.6000000000004 1072.5 434.1 0
J1337-6509 3017.500000000002 60.5 0 4602.100000000003 883.1000000000005 0 0 0
J1400-1858 425.5 0 0 0 0 0 0 0
J2154+1727 211.69999999999996 0 0 0 0 0 0 0
J1024+1912 544.0999999999999 0 0 1515.3 0 0 0 0
J1707+0148 0 0 0 0 121.0 0 0 0
J1159-2142 483.79999999999995 0 0 0 0 0 0 0
J0518-6935 121.10000000000001 0 0 0 0 0 0 0
J1409-2657 121.0 0 0 0 0 0 0 0
J0013+4051 0 0 0 423.3 0 0 0 0
J0858-1950 77.3 0 0 0 0 0 0 0
J2101+0341 4160.400000000003 90.7 0 2176.7000000000003 2886.5000000000014 2903.0 0 0
J2246-1206 1152.8999999999999 288.0 0 503.2 1643.6999999999998 0 0 0
J0243-0550 1179.4999999999998 786.5999999999999 0 937.9000000000001 1300.7000000000007 0 0 0
J1248-4559 288.7 0 0 605.3 0 0 0 0
J0231+1322 120.9 0 0 0 151.2 0 0 0
J2130-0927 1031.8999999999999 0 0 0 0 0 0 0
J0739+0137 316.3 0 0 0 787.5999999999999 0 0 0
J2042-2255 0 0 90.8 363.0 0 0 0 0
J0049-5738 122.89999999999999 0 0 211.7 0 0 0 0
J1743-3058 181.4 0 0 0 1633.8 0 0 0
J1555+1111 302.20000000000005 1514.6000000000001 0 0 313.09999999999997 0 0 0
J1218-0119 1024.5 122.89999999999999 544.5 2915.9000000000005 1991.0 423.4 0 0
J1837-3319 76.6 0 0 998.1000000000008 0 0 0 0
J0224+0659 1702.2 393.7 0 3768.500000000001 6329.300000000001 2870.3999999999996 913.5999999999999 0
J0126+2559 385.5 0 0 0 0 0 0 0
J1449-0045 211.39999999999998 241.89999999999998 0 0 0 0 0 0
J1452-6502 0 0 0 0 5404.800000000004 0 0 0
J1907+0127 695.3999999999999 0 0 1088.7 0 0 0 0
J1125+2005 0 0 0 76.6 0 0 0 0
J1103+1158 483.79999999999995 0 0 3779.100000000001 1850.6 0 0 0
J2243-0609 0 0 0 1058.5 0 0 0 0
J1826-2924 409.3 0 0 4504.900000000003 3751.8 258.2 0 0
J1556-3302 453.59999999999997 0 0 0 0 0 0 0
J0927-2034 514.2 362.70000000000005 0 2195.2 0 0 0 0
J0412+1856 0 0 0 276.1 0 0 0 0
J2212+0646 120.9 0 0 183.8 0 0 0 0
J1432-1801 181.49999999999997 0 0 0 677.5 0 0 0
J2019-5201 665.2 76.5 0 0 0 0 0 0
J1512-0905 605.8 0 0 0 0 0 0 0
J1825-0737 0 0 0 359.0 0 0 0 0
J1116+0829 985.2000000000005 0 434.0 181.29999999999998 489.5999999999999 0 0 0
J1214-1921 634.8 0 0 0 0 0 0 0
J1837-7108 0 0 211.79999999999998 0 0 0 0 0
J2349+0534 0 0 0 0 504.2 0 0 0
J0845+0439 1191.4 1650.8000000000013 0 1300.3000000000002 0 0 0 0
J1438-2204 0 0 0 90.8 0 0 0 0
J2057-3734 0 0 0 435.3999999999999 0 0 0 0
J0853+0654 2027.7000000000016 167.29999999999998 0 332.29999999999995 635.1 0 0 0
J1740+2211 76.6 0 0 0 0 0 0 0
J2015+3710 0 0 0 1360.9000000000003 665.5000000000001 0 0 0
J2156-0037 530.5 576.9 0 2425.7 354.9 0 0 0
J1733-7935 228.00000000000003 0 0 0 0 0 0 0
J0253-5441 0 0 0 1451.7000000000003 1998.7000000000003 10827.1 0 0
J0427-0700 90.7 0 0 0 0 0 0 0
J0342-3007 34143.40000000001 4355.2 0 3809.7999999999993 7551.600000000004 0 0 0
J0748-1639 0 0 0 0 241.89999999999998 0 0 0
J1337-1257 36692.300000000025 6693.500000000002 3688.1000000000004 65416.60000000005 63503.50000000001 4496.500000000001 951.7 0
J1742-1517 0 0 0 453.6 1520.8 0 0 0
J0019+2021 774.1999999999999 544.4000000000001 0 1723.6 423.6 0 0 0
J2025+3343 4354.3 2165.2 0 5982.8 0 0 0 0
J0010+1724 181.4 0 0 244.0 211.7 0 0 0
J0137+3309 362.79999999999995 0 0 0 0 0 0 0
J1803-6507 120.9 0 0 0 0 0 0 0
J1937+0734 0 0 0 4925.4 0 0 0 0
J1303-5540 181.29999999999998 0 0 211.7 1433.9999999999998 0 0 0
J0957-1350 262.0 0 0 0 0 0 0 0
J2333-2343 0 0 0 0 241.79999999999995 0 0 0
J1121-0553 0 0 766.0 60.5 0 766.0 0 0
J1535-4730 0 0 0 423.4 0 0 0 0
J1923-2104 0 0 0 363.0 0 0 0 0
J0830+2410 60.5 0 0 211.59999999999997 1771.4 0 0 0
J0103+1526 0 0 0 798.1999999999998 0 0 0 0
J0552+3754 634.9 0 0 0 290.69999999999993 0 0 0
J1804+0101 199.50000000000003 0 0 0 0 0 0 0
J0439-4522 121.1 60.4 0 167.1 5852.000000000004 0 0 0
J2247-3657 181.6 0 0 756.0 0 0 0 0
J2139-4235 0 0 0 272.2 0 0 0 0
J2207-5346 184.2 560.7 933.0999999999999 620.7 729.6999999999999 679.3999999999999 0 0
J0336-3616 756.3000000000001 0 0 0 0 0 0 0
J2121-6111 60.5 544.3 0 0 0 0 0 0
J1829-5813 0 0 0 2423.5 0 1233.9 0 0
J0536-3401 1451.0 90.7 0 1800.3000000000004 338.9 0 0 0
J0303-2407 967.8 0 0 363.0 0 0 0 0
J0050-0452 302.4 0 0 1178.7 709.4 0 0 0
J0604+2429 2087.2 0 0 0 0 0 0 0
J1745-2900 0 0 0 937.4000000000001 1187.7 0 0 0
J1316-3338 4484.499999999999 0 0 12717.199999999999 5061.400000000001 1608.3 0 0
J0108+0135 4300.099999999999 1542.6999999999998 201.9 3628.3999999999996 12208.700000000003 434.0 0 0
J1457-3539 653.2000000000003 1190.9000000000003 520.5 975.9000000000001 0 0 0 0
J1257-3155 592.4000000000001 0 0 211.6 0 0 0 0
J0644+3914 181.7 0 0 0 0 0 0 0
J0424+0036 199.70000000000002 0 0 0 0 0 0 0
J1256-0547 51851.000000000015 9081.4 8008.200000000001 88939.2 88609.99999999999 46806.0 14274.100000000002 318.59999999999997
J1711-3744 0 0 0 2400.9000000000015 0 0 0 0
J0505+0459 0 0 0 121.0 0 306.29999999999995 0 0
J2004-6347 0 60.6 0 181.4 0 0 0 0
J2206-1835 1693.7000000000003 0 0 1255.1999999999998 2933.1999999999994 0 0 0
J1730+0024 530.2 151.1 725.8 641.2 362.9 0 0 0
