obj B3 B4 B5 B6 B7 B8 B9 B10
J1924+1540 0 0 0 0 0 0 0 0
J2309-3059 0 0 0 0 0 0 0 0
J1617-2537 0 0 0 0 0 0 0 0
J1516+1932 0 151.2 0 0 0 0 0 0
J0228-0337 0 0 0 0 0 0 0 0
J0409+1217 0 0 0 0 0 0 0 0
J1038-4325 241.79999999999998 0 0 0 0 0 0 0
J1242+0941 0 0 0 0 0 0 0 0
J0455-4615 0 0 0 0 0 0 0 0
J0339-0146 0 0 0 0 0 0 0 0
J1215+1654 0 0 0 1352.0 0 0 0 0
J1419-0838 0 0 0 241.89999999999998 0 0 0 0
J1254-4743 0 0 0 0 0 0 0 0
J0112+3522 0 0 0 0 0 0 0 0
J1339-2401 0 0 0 0 0 0 0 0
J1626-2951 0 271.9 0 0 262.1 0 0 0
J1147-6753 0 0 0 0 0 0 0 0
J1337-6509 0 0 0 0 0 0 0 0
J1400-1858 0 0 0 0 0 0 0 0
J2154+1727 0 0 0 0 0 0 0 0
J1024+1912 0 0 0 0 0 0 0 0
J1707+0148 0 0 0 0 0 0 0 0
J1159-2142 0 0 0 0 0 0 0 0
J0518-6935 0 0 0 0 0 0 0 0
J1409-2657 0 0 0 0 0 0 0 0
J0013+4051 0 0 0 0 0 0 0 0
J0858-1950 0 0 0 0 0 0 0 0
J2101+0341 0 0 0 0 0 0 0 0
J2246-1206 0 0 0 0 0 0 0 0
J0243-0550 0 0 0 0 0 0 0 0
J1248-4559 0 0 0 0 0 0 0 0
J0231+1322 0 0 0 0 0 0 0 0
J2130-0927 0 0 0 0 0 0 0 0
J0739+0137 0 0 0 0 0 0 0 0
J2042-2255 0 0 0 0 0 0 0 0
J0049-5738 0 0 0 0 0 0 0 0
J1743-3058 0 0 0 0 0 0 0 0
J1555+1111 0 0 0 0 0 0 0 0
J1218-0119 0 0 423.4 0 0 0 0 0
J1837-3319 0 0 0 0 0 0 0 0
J0224+0659 0 0 0 0 0 0 0 0
J0126+2559 0 0 0 0 0 0 0 0
J1449-0045 0 0 0 0 0 0 0 0
J1452-6502 0 0 0 0 0 0 0 0
J1907+0127 0 0 0 0 0 0 0 0
J1125+2005 0 0 0 0 0 0 0 0
J1103+1158 0 0 0 0 0 0 0 0
J2243-0609 0 0 0 0 0 0 0 0
J1826-2924 0 0 0 0 0 0 0 0
J1556-3302 0 0 0 0 0 0 0 0
J0927-2034 0 0 0 0 0 0 0 0
J0412+1856 0 0 0 276.1 0 0 0 0
J2212+0646 0 0 0 0 0 0 0 0
J1432-1801 0 0 0 0 0 0 0 0
J2019-5201 0 0 0 0 0 0 0 0
J1512-0905 0 0 0 0 0 0 0 0
J1825-0737 0 0 0 0 0 0 0 0
J1116+0829 0 0 0 0 0 0 0 0
J1214-1921 211.59999999999997 0 0 0 0 0 0 0
J1837-7108 0 0 0 0 0 0 0 0
J2349+0534 0 0 0 0 0 0 0 0
J0845+0439 0 0 0 0 0 0 0 0
J1438-2204 0 0 0 0 0 0 0 0
J2057-3734 0 0 0 0 0 0 0 0
J0853+0654 0 0 0 0 0 0 0 0
J1740+2211 0 0 0 0 0 0 0 0
J2015+3710 0 0 0 181.5 0 0 0 0
J2156-0037 60.4 0 0 0 0 0 0 0
J1733-7935 228.00000000000003 0 0 0 0 0 0 0
