obj                B3       B4       B5       B6       B7       B8       B9      B10
J2336-5236      13.91     7.66     0.00     3.63     0.94     0.00     0.00     0.00
J1130+0846       0.00     0.00     0.00    13.10     0.00     0.00     0.00     0.00
J0106-2718      41.37     0.00     0.00     8.87     4.77     2.72     0.00     0.00
J1534+0131       6.99     2.35     0.00     0.00     0.00     0.00     0.00     0.00
J0423-0120    1283.34   255.65   255.78  2113.47  1264.77   157.74     7.56     0.00
J0224+0659      27.46     5.24     0.00    56.96    99.44    44.11    14.05     0.00
J1254-4743       2.82     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J2146-7755       0.00     0.00     0.00     6.05     0.00     0.00     0.00     0.00
J1327+2210      19.62     2.82     0.00    18.03    19.03    32.66     0.00     0.00
J0441-3300       0.00     6.45     0.00     0.00     0.00     0.00     0.00     0.00
J1719+1745       2.42     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0339-0146      84.60     0.00     4.03    44.34    53.29     0.00     0.00     0.00
J1438-2204       0.00     0.00     0.00     1.21     0.00     0.00     0.00     0.00
J0529-0519     144.68     0.00     0.00    36.49     4.44     0.00     0.00     0.00
J0149+0555       2.02     0.00     0.00     9.01     0.94     0.00     0.00     0.00
J1342-2051      19.22     0.00     0.00     6.05     0.00     0.00     0.00     0.00
J2345-1555       6.45     0.00     0.00    29.55     7.96     0.00     0.00     0.00
J0606-0724       1.61     0.00     0.00     8.47     0.00     0.00     0.00     0.00
J2005-1822       2.42     0.00     0.00     7.66     0.00     0.00     0.00     0.00
J0315-1656      10.48     0.00     0.00     2.77     0.00     0.00     0.00     0.00
J0946+1017       3.63     0.00     0.00    11.29     0.00     0.00     0.00     0.00
J1755-5536       0.81     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1658-0739      14.11     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1227-4436       0.00     0.00     0.00     3.23     0.00     0.00     0.00     0.00
J1107-4449     432.29    86.28    60.24  1011.45   229.67    12.23     0.00     0.00
J0215-0222      28.83     0.00     0.00    47.04    23.40     0.00     0.00     0.00
J0440-4333       4.84     0.00     0.00     0.00     7.51     3.63     0.00     0.00
J0141-0928      27.01     5.64     2.42    14.82    16.20    68.04     0.00     0.00
J0518-6935       1.61     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J2236-1433      13.10     1.41     2.02    20.21    12.49     0.00     0.00     0.00
J2216-1124       0.00     0.00     0.00     0.00     2.86     0.00     0.00     0.00
J2023-0123       0.00    10.18     3.63     0.00     0.00     0.00     0.00     0.00
J0852+2833       1.43     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0614-2536      13.17     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0702-1951       0.00     0.00     2.02    25.80     3.23     0.00     0.00     0.00
J1540+1447       3.93     1.76     0.00    37.31     7.66    27.22     0.00     0.00
J1925+2106       4.84     0.00     0.00    10.48     0.00     0.00     0.00     0.00
J2321+2732       0.00     0.00     0.00     0.71     0.00     0.00     0.00     0.00
J0057-7040       2.42     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J2034+1154       2.02     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0824+3916       0.00     0.00     0.00     4.69     0.00     0.00     0.00     0.00
J1458+0416       5.29     0.00     0.00     0.00     1.06     0.00     0.00     0.00
J1711-3744       0.00     0.00     0.00    33.90     0.00     0.00     0.00     0.00
J0149+1857       4.84     0.00     0.00    14.52     0.00     0.00     0.00     0.00
J1312-0424       5.89     0.00     0.00     6.75     0.00    17.24     0.00     0.00
J0126+2559       3.33     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J2324-3714       2.42     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J2131-1207       6.74     0.00     0.00     9.48     2.34     0.00     0.00     0.00
J0439+3045       2.27     0.00     0.00    24.11     0.00     0.00     0.00     0.00
J2154+1727       2.82     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0402-3147       2.42     0.00     0.00     0.71     0.00     0.00     0.00     0.00
J2320+0513      25.70     5.29     0.00    16.26     7.53     0.00     0.00     0.00
J0151-1732       1.41     0.00     0.00     8.32     1.92     0.00     0.00     0.00
J1018-3123       0.00     0.00     0.00     3.43     1.61     0.00     0.00     0.00
J0816-2421       0.00     0.00     0.00     3.23     0.00     0.00     0.00     0.00
J0831+0429       0.00     0.00     0.00     2.12    10.19     0.00     0.00     0.00
J2052+1619      12.47     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1600-5811       3.93     2.12     0.00     1.41     0.00     0.00     0.00     0.00
J1155-5730       0.00     0.00     0.00     3.23     0.00     0.00     0.00     0.00
J1617-5848    1050.29   157.99    25.08   424.70   246.60     2.00     7.11     0.00
J0511-6806      26.36     0.00     0.00     3.23     0.00     0.00     0.00     0.00
J1829+3957       0.00     0.00     0.00    11.56     0.00     0.00     0.00     0.00
J1342-3240       1.61     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0303-6211      11.96     7.59     0.00    23.25    15.19    17.04     0.00     0.00
J0702-1015       0.00     0.00     0.00    17.34     0.00     0.00     0.00     0.00
J1928+0848       0.00     0.00     0.00     2.15     0.00     0.00     0.00     0.00
J1534-2243       0.00     0.00     0.00     1.21     0.00     0.00     0.00     0.00
J1450+0910       9.68    10.08     0.00     0.00    25.00     0.00     0.00     0.00
J0125-0005      42.37     2.42     0.00     8.47    44.22     0.00     0.00     0.00
J1359+0159      25.57     4.44     0.00    22.28    10.38     0.00     0.00     0.00
J1424-6807      22.92    24.53     0.00    45.73    24.63    15.46     0.00     0.00
J2308-4557       0.00     0.00     0.00     2.42     0.00     0.00     0.00     0.00
J0321-0526       4.84     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1650-5044     167.46     3.78     0.00   108.14   108.60     0.00     0.00     0.00
J1047-6217      54.63     0.00     0.00   172.01    12.57    77.62     0.00     0.00
J0004-1148       3.23     0.00     0.00    12.00     0.00     0.00     0.00     0.00
J2229-0832       9.83     0.00     0.00     5.75    50.30    18.72     0.00     4.87
J0552-4522       0.81     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0746-1555       0.00     0.00     0.00     0.00     0.00     2.72     0.00     0.00
J1124+2336       0.00    12.10     0.00     0.00     0.00     0.00     0.00     0.00
J2004-6347       0.00     0.81     0.00     2.42     0.00     0.00     0.00     0.00
J0943-0819       7.66     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1743-0350      69.38     0.00     2.42    49.20    26.34     0.00     9.14     0.00
J0359-2615       0.00     9.27     0.00     0.00     0.00     0.00     0.00     0.00
J1733-1304     737.03    47.09     7.26  1202.48   744.16    13.74    11.81     0.00
J1955+1358       7.66     0.00     0.00    92.47    21.28     0.00     0.00     0.00
J0757+0956       2.42     0.00     0.00     1.92    11.64     0.00     0.00     0.00
J1802-3940       0.00     0.00     0.00    35.80    35.84     3.63     0.00     0.00
J0411-5149      13.98     1.61     0.00     0.00     0.00     0.00     0.00     0.00
J0040-0146       4.84     5.64     0.00     1.06     2.80     0.00     0.00     0.00
J1028+0255       2.42     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J2218+1520       8.60     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J2348-1631       0.81     0.00     0.00    45.39   164.86     0.00     0.00     0.00
J1404-0013       0.00     0.00     0.00     0.00     1.88     0.00     0.00     0.00
J0219+0120      18.95     0.00     0.00    27.42     0.00     0.00     0.00     0.00
J1604-4441       2.02    14.70     0.00    47.17   165.56     2.72     7.26     0.00
J1000+0005     174.12     2.82     0.00    20.43     0.00     0.00     0.00     0.00
J0748-1639       0.00     0.00     0.00     0.00     3.23     0.00     0.00     0.00
J2224-1126       6.05     1.61     0.00     0.00     0.00     0.00     0.00     0.00
J2011-1546       0.00     0.81     0.00     3.21     0.00     0.00     0.00     0.00
J0329-2357       0.81     2.82     2.42    46.47    56.92     8.62     0.00     0.00
J1006-5018       0.00     0.00     0.00     5.38     2.82     0.00     0.00     0.00
J0737-1534      19.56     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0340-0254       2.47     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J2306-0459       3.23     0.00     0.00     2.35     0.00     0.00     0.00     0.00
J1038+0512      21.37     4.03     0.00     1.21     6.12     0.00     0.00     0.00
J1330+2509       0.81     0.00     0.00     4.03     0.00     0.00     0.00     0.00
J0700+1709       0.00     0.00     0.00     1.21     5.64     0.00     0.00     0.00
J1230+1223       7.26     0.00     0.00     0.00    29.25     0.00    21.00     0.00
J2358+1955       4.84     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0317-2803      35.11     0.00     0.00     3.65     0.00     0.00     0.00     0.00
J0216-1017       0.81     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J2203-6130       4.84     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J2223-3137       8.06     0.00     0.00    24.60     0.00     0.00     0.00     0.00
J0506-6109      28.59     0.00     0.00     3.63     9.37     0.00     0.00     0.00
J1740+2211       0.81     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1239+0730      18.70     5.17     0.00    27.25    41.30     0.00     0.00     0.00
J1336-3357       0.00     0.00     0.00    50.26     0.00     0.00     0.00     0.00
J0438+2153       2.42     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1907+0127       9.48     0.00     0.00    14.52     0.00     0.00     0.00     0.00
J0701-4634      54.85     0.00     0.00    52.86    39.00     0.00     0.00     0.00
J1118+1234      71.16     0.00     0.00    23.74    10.11     0.00     0.00     0.00
J1354-1041       0.00     0.00     0.00    20.41     0.00     0.00     0.00     0.00
J1155-8101       0.81     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0040+0125       8.06     0.00     0.00     4.03     3.29     0.00     0.00     0.00
J2056-5820      21.10     0.00     0.00    12.50     3.23     0.00     0.00     0.00
J1956-3225       0.00     0.00     0.00     1.21     0.00     0.00     0.00     0.00
J0836+2728       0.72     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0601-7036     115.36     0.00     2.42   420.18    10.24    25.33     5.00     0.00
J1121-0553       0.00     0.00     7.41     0.71     0.00     8.06     0.00     0.00
J1742-1517       0.00     0.00     0.00     6.55    18.68     0.00     0.00     0.00
J0116-2052      16.93     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1658+0741       1.41     0.00     0.00     0.00     0.00     2.72     0.00     0.00
J0846-2607       8.87     0.00     0.00     0.00     2.42     0.00     0.00     0.00
J1107-6820       4.84     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0927-2034       6.85     4.23     0.00    29.43     0.00     0.00     0.00     0.00
J0418+3801       3.23     0.00     0.00     6.45     2.82     0.00     0.00     0.00
J1700-2610     123.57     0.00     0.00   123.33    59.10     0.00     0.00     3.96
J2226+0052      85.88    12.10     0.00   125.34    34.27    40.22     0.00     0.00
J1651+0129       6.45     1.61     0.00    52.42    45.16     0.00     0.00     0.00
J0811-4929       0.94     1.41     0.00    22.63     0.00    10.89     0.00     0.00
J1510-0543       0.00     0.00     0.00     2.12     0.00     0.00     0.00     0.00
J1001+2911       3.63     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0725-0054     182.52    29.43     0.00   207.39   317.89    15.10     0.00     0.00
J2304+2331       0.00     5.64     0.00     0.00     0.00     0.00     0.00     0.00
J0547+1223       3.63     1.61     0.00     0.00     2.62     0.00     0.00     0.00
J0133-5200       0.00     0.00     0.00     2.82     1.63     0.00     0.00     0.00
J0502+1338       1.04     1.06     0.00     3.68     0.00     0.00     0.00     0.00
J1303-5540       2.42     0.00     0.00     2.82    22.09     0.00     0.00     0.00
J1641+2257       0.00     0.00     0.00     1.24     0.00     0.00     0.00     0.00
J2300+1655      14.52     0.00     0.00     4.84     4.23     0.00     0.00     0.00
J2114+2832       0.00    27.42     0.00     5.91     0.00     0.00     0.00     0.00
J0336-1302       0.00     5.64     0.00    22.98     0.00     0.00     0.00     0.00
J0613+2604       0.00     0.00     0.00     3.23    12.50     0.00     0.00     0.00
J1603-4904      59.47     0.00     0.00    49.59     0.00     0.00     0.00     0.00
J1751-1950      33.56    29.70     0.00     2.22     8.57     0.00     0.00     0.00
J0427+0457      12.10     7.06     0.00     7.06     0.00     0.00     0.00     0.00
J0654-1053       0.71     0.71     0.00     5.97     9.74     0.00     0.00     0.00
J2316+1618       0.00    10.01     0.00    10.15     0.00     0.00     0.00     0.00
J1747-5310       0.00     8.06     0.00     0.00     0.00     0.00     0.00     0.00
J0349-4858       0.00     0.00     0.00     4.84     0.00     0.00     0.00     0.00
J0108+0135      56.83    20.56     2.02    40.32   170.10     6.53     0.00     0.00
J1252-6737       1.21     0.00     0.00     5.64     0.00     0.00     0.00     0.00
J1407-4302       0.00     0.00     0.00    10.48     7.46     0.00     0.00     0.00
J1038-4325      27.42     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0531-4827      14.52     2.02     0.00     5.64    48.87     0.00     0.00     0.00
J1457-3539       7.48    13.53     5.64    11.29     0.00     0.00     0.00     0.00
J1832-2039     149.01    49.59     5.64   214.63   168.34     4.54     0.00     0.00
J1042-4143      12.10     0.00     0.00    61.32     0.00     0.00     0.00     0.00
J0542-0913     132.69    26.88     0.00    91.71    54.40     0.00    88.70     0.00
J2025+3343      67.13    34.57     0.00    89.88     0.00     0.00     0.00     0.00
J0916+3854       0.00     0.00     5.24     8.87     4.84     0.00     0.00     0.00
J1744-5144       0.00     0.00     0.00     1.21     0.00     0.00     0.00     0.00
J0209-0438      41.40     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0648-1744       0.00     0.00     0.71     2.42     3.48     0.00     0.00     0.00
J1209-2406       0.94     0.00     0.00     0.94    12.90     0.00     0.00     0.00
J0608-5456       7.26     1.21     0.00     6.59     1.06     0.00     0.00     0.00
J2316-4337       7.26     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1112-5703       0.00     0.00     0.00     4.44     0.00     0.00     0.00     0.00
J0334+0800       1.06     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1531-5108      22.18     0.00     0.00    19.76     4.03     0.00     0.00     0.00
J1214-1921       8.47     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1636-4102      11.69     0.00     0.00    23.40    40.30     0.00     0.00     0.00
J1834-0301       2.47     0.00     0.00    29.48     0.00     0.00     0.00     0.00
J1336-0829       0.00     0.00     0.00    11.29    26.35     0.00     0.00     0.00
J0059+0006       0.00     2.42     0.00     1.61     0.00     0.00     0.00     0.00
J2015+3710       0.00     0.00     0.00    18.45     5.19     0.00     0.00     0.00
J1104-2431       0.81     0.00     0.00    27.22     2.02     0.00     0.00     0.00
J0056-4451       2.02     2.02     0.00     0.00     0.00     0.00     0.00     0.00
J1024+1912       7.26     0.00     0.00    20.16     0.00     0.00     0.00     0.00
J1640-3727       0.00     0.00     0.00     7.48     0.00     0.00     0.00     0.00
J1624-3213       0.00     0.00     0.00     3.12     0.00     0.00     0.00     0.00
J0102-7546      32.56     0.00     0.00    65.32     0.00   111.65     0.00     0.00
J0152+2207      20.16     0.00     0.00     3.23   167.58     0.00     0.00     0.00
J1728+0427       0.00     0.00     0.00     2.82     0.00     4.54    17.54     0.00
J2353-3037       0.00     0.00     0.00   159.46    44.37     0.00     0.00     0.00
J0815+3635       5.04     0.00     0.00     4.44     0.00     0.00     0.00     0.00
J0532+0732      34.66     2.02     0.00   219.91    12.43     0.00     0.00     0.00
J0407-1211      21.97    14.62     1.06     2.02     0.00     2.92     0.00     0.00
J2139-4235       0.00     0.00     0.00     3.63     0.00     0.00     0.00     0.00
J1316-3338      47.17     0.00     0.00   147.50    58.26    16.93     0.00     0.00
J1339-2620       2.82     0.00     0.00     2.82     0.00     0.00     0.00     0.00
J2239-5701      20.16     0.00     0.00     3.23     7.26     0.00     0.00     0.00
J1410+0203      43.92    14.82    20.46    94.92    36.07    20.28     0.00     0.00
J0030-4224      15.19     4.03     0.00     6.08     2.35     0.00     0.00     0.00
J2024-3253       0.00     0.00     0.00     0.81     0.00     0.00     0.00     0.00
J1717-3342     384.15    10.89     0.00   179.32   117.12     0.00    10.26     0.00
J0326-3243      25.82     0.00     0.00    68.23     0.00     0.00     0.00     0.00
J0428-6438      17.64     7.46     0.00    18.14     0.00     0.00     0.00     0.00
J1335-0511       0.00     5.64     0.00     0.00     0.00     0.00     0.00     0.00
J1827-0405       5.64     0.00     0.00     5.64     0.00     0.00     0.00     0.00
J0143-3200       2.72     0.00     0.00    12.92    63.93     0.00     0.00     0.00
J1126-3828       6.85     0.00     0.00    26.21     0.00     0.00     0.00     0.00
J0604+2429      30.46     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0112+3522       0.00     0.00     0.00    18.55     0.00     0.00     0.00     0.00
J1024-3234       4.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1352-4412       4.20     0.00     0.00     4.84     0.00     0.00     0.00     0.00
J1321-2636       0.00     0.00     0.00    12.10     0.00     0.00     0.00     0.00
J0449-0057       2.42     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J2109+3532       0.00     0.00     0.00     3.23     0.00     0.00     0.00     0.00
J0603+1742      21.65     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1833-2103       5.24     0.00     0.00    16.03    38.23    27.01    14.92     0.00
J1922+1530     122.09     0.00     0.00    57.81     8.47     1.81     0.00     0.00
J0112-6634       7.26     0.00     0.00     2.82    25.80     0.00     0.00     0.00
J1537+2300      12.50     6.05     0.00     6.45     0.00     0.00     0.00     0.00
J2023+3153       0.00     0.00     0.00     4.84     0.00     0.00     0.00     0.00
J1007+1356       7.86     5.88     0.00     1.41     0.00     0.00     0.00     0.00
J0058-3234       1.06     2.42     0.00     4.94     2.35     0.00     0.00     0.00
J1130-1449      56.66    18.55     0.00     7.59     9.17     0.00     0.00     0.00
J1908+1201       0.00     0.00     0.00     1.61     0.00     0.00     0.00     0.00
J1122+1805       0.00     0.00     0.00     1.21     0.00     0.00     0.00     0.00
J2147+0929       1.21     0.00     0.00    13.91     0.00     0.00     0.00     0.00
J0559-1817       0.00     0.00     0.00     6.45     0.00     0.00     0.00     0.00
J2206-0031       7.66     0.00     0.00     0.00    35.23    13.61     0.00     0.00
J1743-3058       2.42     0.00     0.00     0.00    24.31     0.00     0.00     0.00
J0541-0541      57.92    20.61     0.00   151.90   204.29     0.00     0.00     0.00
J0849-3541       0.00     0.00     0.00    12.10     0.00     0.00     0.00     0.00
J0519-4546     884.57   185.93    24.80   813.71   842.46    37.38     5.18     0.00
J2346+0930       1.06    57.46     0.00    13.71     0.00     0.00     0.00     0.00
J0304+3348       8.94     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0631+2020       3.63     0.00     0.00    13.96     2.62     0.00     0.00     0.00
J1107-3043       2.42     0.00     0.00    18.14     2.02     0.00     0.00     0.00
J0151+2744       6.75     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1406-0707       4.84     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0243-0550      16.13    10.48     0.00    12.50    16.40     0.00     0.00     0.00
J2056-4714     613.02   124.00   135.44   835.97   350.48    21.17    14.38     0.00
J0019+2021      11.29     7.26     0.00    22.98     5.64     0.00     0.00     0.00
J1625-2527     222.04    17.04     7.66   362.87   247.67    14.12     0.00     0.00
J2329-4730       0.00     1.21     0.00     0.00     0.00     0.00     0.00     0.00
J1642+3948       0.00     0.00     0.00    12.23     0.00     0.00     0.00     0.00
J0825+0309      21.69    17.51     0.00    46.34    41.42     0.00     0.00     0.00
J1633-2557      54.40     0.00     3.63   142.97     0.00     0.00     0.00     0.00
J0845+0439      13.36    13.56     0.00    17.82     0.00     0.00     0.00     0.00
J0526-6749      45.58     6.59     0.00     4.84     0.00     0.00     0.00     0.00
J0840+1312       7.61     0.00     0.00     7.96     0.00     0.00     0.00     0.00
J0201-1132       1.61     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0552+1913       2.42     0.00     0.00     2.42     0.00     0.00     0.00     0.00
J2000-1325      12.50     0.00     0.00     2.82     2.12     0.00     0.00     0.00
J1952+2526      35.68    14.52     9.27    14.92     0.00     0.00     0.00     0.00
J0519+2744       6.59     0.00     0.00     2.94     0.00     0.00     0.00     0.00
J0745+1011       2.42     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0919-5340       0.00     0.00     0.00     2.15     0.00     0.00     0.00     0.00
J1136-6827       0.00     0.00     0.00     0.81     0.81     0.00     0.00     0.00
J0847-0703       4.23     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1939-1525       4.84     0.00     0.00     6.05     2.12     0.00     0.00     0.00
J1822+1600       0.00     0.00     0.00     0.00     2.82     0.00     0.00     0.00
J2236-0406       5.31     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0103-6439       0.00     0.00     0.00     2.42    19.29     0.00     0.00     0.00
J2126-4605       0.00     0.00     0.00     0.00     2.82     0.00     0.00     0.00
J0202-1948       0.00     0.00     0.00    39.77     0.00     0.00     0.00     0.00
J0153-3310       0.00     0.00     0.00     1.06     0.00     0.00     0.00     0.00
J1449-0045       3.29     3.23     0.00     0.00     0.00     0.00     0.00     0.00
J1058-8003       9.68     4.84     0.00   133.07   113.35     0.00     0.00     0.00
J1208-7809      39.78     0.00     0.00     9.27     0.00     0.00     0.00     0.00
J1522-2730       0.00     0.00     0.00     2.42     0.00     0.00     0.00     0.00
J1146+3958       0.72     0.94     0.00     1.41     0.00     0.00     0.00     0.00
J1146-2859      14.92     0.00     0.00     9.68     4.59     5.75     0.00     0.00
J1102+2757       3.23     0.00     0.00    23.05     0.00     0.00     0.00     0.00
J0552+0313     131.38     0.00     0.00    63.30    69.05     0.00     0.00     0.00
J1011-0423       4.84     0.00     0.00     4.03     0.00     0.00     0.00     0.00
J1626-2951      20.08    15.72     0.00    43.74   271.91     0.00    32.16     0.00
J2315-5018       6.05     1.61     0.00     0.00     2.02    18.14     0.00     0.00
J2323-0317      30.13    26.12     0.00    51.22    52.63     0.00     0.00     0.00
J0115-0127       2.42     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0116-1136       2.47     0.00     0.00     7.72     7.26     0.00     0.00     0.00
J1330-3122      35.08     0.00     0.00     0.00     9.68     0.00     0.00     0.00
J1937+0734       0.00     0.00     0.00    78.53     0.00     0.00     0.00     0.00
J1911-2006       9.27     2.42     0.00    50.25    95.66     0.00     0.00     0.00
J0429+2724       0.00     0.00     0.00     3.23     0.00     0.00     0.00     0.00
J1708+0035       0.00     0.00     0.00     3.23     0.00     0.00     0.00     0.00
J1342-2900     133.45    16.93     0.00    55.43    46.80     0.00     0.00     0.00
J0426+2327     119.74    10.58     0.00   200.31    50.70     0.00     0.00     0.00
J0550+2326       0.00     0.00     0.00     2.82     0.00     0.00     0.00     0.00
J0837+2454       9.95     2.82     0.00     0.00     0.00     0.00     0.00     0.00
J1329-5608      14.92     0.00     0.00    25.89    41.69     0.00     5.95     0.00
J0051-0650       0.00     0.00     0.00     5.01     1.76     0.00     0.00     0.00
J0501-0159      50.79     0.71     0.00   103.36    23.38     6.53     0.00     0.00
J0118-2141       0.00     0.00     0.00     5.64     0.00    14.78     0.00     0.00
J1556-3302       5.80     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0525-2338       0.00     0.00     0.00     1.21     0.00     0.00     0.00     0.00
J1246-2547      10.34     0.00     0.00    11.42     9.88     0.00     0.00     0.00
J1914+1636       0.00     0.00     0.00     5.75     0.00     0.00     0.00     0.00
J1717-5155       0.00     0.00     0.00     0.00     2.82     0.00     0.00     0.00
J1159-2142       6.45     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1032-5917       7.69     1.41     0.00    27.46    17.54     0.00     0.00     0.00
J0642+3509       0.00     0.00     0.00     2.82     0.00     0.00     0.00     0.00
J0050-0452       4.03     0.00     0.00    15.42     2.96     0.00     0.00     0.00
J0010+1058       2.02    11.69     0.00    10.99     5.64     0.00     0.00     0.00
J1019-6047       0.00     0.00     0.00     0.00     9.74     0.00     0.00     0.00
J1744-3116     279.23    16.83    18.35   749.36   252.05     5.90     0.00     0.00
J1454-3747       0.81     5.29     0.00    12.90     0.00    13.10     0.00     0.00
J1303+2433      29.36     1.41     0.00    33.06     0.00     0.00     0.00     0.00
J2139+1423      19.03     0.00     0.00     0.94     0.00     0.00     0.00     0.00
J0940+2603       4.49     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J2052-5533       8.67     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J0845-5458      17.66     0.00     0.00    18.42     0.00     0.00    11.79     0.00
J2123+0535       2.97     0.00     0.00     2.82     0.00     0.00     0.00     0.00
J2047-0246       1.61     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J2222+1213      17.34     0.00     2.12     1.76     3.04     0.00     0.00     0.00
J0547+2721       2.82     0.00     0.00     6.72     6.45     0.00     0.00     0.00
J0209+1352       1.21     0.00     0.00     0.00     0.00     0.00     0.00     0.00
J1103+3014       0.00     0.00     0.00     2.42     0.00     0.00     0.00     0.00
J0315-1031       0.00     0.00     0.00    17.56     0.00     0.00     0.00     0.00
J0231+1322       1.61     0.00     0.00     0.00     2.35     0.00     0.00     0.00
J0117+1418      15.52     0.00     0.00     7.66     1.61     0.00     0.00     0.00
J2216-1122       0.00     0.00     0.00     0.00     2.86     0.00     0.00     0.00
