#calName, ra, dec, zCal
J0004-1148, 1.02047912088, -11.8162182639, -999
J0006-0623, 1.55788749999, -6.39314861111, 0.347
J0010+1058, 2.62919127912, 10.9748623194, 0.089
J0010+1724, 2.64162761251, 17.4052114778, 1.601
J0011-2612, 2.75519475, -26.2092713889, 1.096
J0012-3954, 3.24962437916, -39.9072372111, 0.493
J0013+4051, 3.37970917498, 40.8603178306, 0.2555
J0013-0423, 3.47554566663, -4.39785966389, 1.075
J0016-0015, 4.04620230416, -0.253457019444, 1.576
J0017-0512, 4.39923839581, -5.211601975, 0.227
J0019+2021, 4.90772707084, 20.3626790694, -999
J0022+0608, 5.63517166667, 6.13451916667, -999
J0026-3512, 6.56827979167, -35.2135531389, 0.6
J0029+3456, 7.309344, 34.942294, 0.517
J0030-4224, 7.57288583745, -42.4129114389, 0.495
J0034-0054, 8.68300818745, -0.903621008334, 0.656
J0037+1109, 9.35850590001, 11.1641448, -999
J0038-2459, 9.56139795003, -24.9839542361, 0.498
J0040+0125, 10.0563562, 1.4295416, 0.226
J0040-0146, 10.2400482583, -1.77556285, 1.177
J0040-3243, 10.0730862625, -32.7243958444, -999
J0040-4253, 10.13547775, -42.8864973889, -999
J0045-3705, 11.3002748583, -37.0967970972, 1.0
J0049+0237, 12.4301498, 2.6177162, 1.474
J0049-4457, 12.319267, -44.953101, 0.1213
J0050-0452, 12.5897282667, -4.87238733611, 0.922
J0050-0929, 12.6721557791, -9.48478062778, 0.635
J0051-0650, 12.7842075833, -6.83395252222, 1.975
J0051-4226, 12.7895909167, -42.4425815, 1.749
J0056+1625, 14.2303930417, 16.4203725139, 0.206
J0056-4451, 14.1910550208, -44.8505948417, 0.6
J0057+3021, 14.4536805792, 30.3524478028, 0.016
J0057-0024, 14.3208425833, -0.409216055556, 2.748
J0057-7040, 14.3152720833, -70.6795245556, 1.0
J0058+0620, 14.6408523958, 6.33502035278, 0.592
J0058-3234, 14.5092928333, -32.57243025, 1.37
J0058-5219, 14.7329171875, -52.3243984722, -999
J0058-5659, 14.6940882499, -56.9865195222, 0.018
J0059+0006, 14.7729789, 0.1143392, 0.719
J0102-7546, 15.57775055, -75.7810355333, 1.017
J0103-6439, 15.8905902667, -64.6521347667, 0.163
J0104-2416, 16.2425224501, -24.2745681528, 2.0
J0106-2718, 16.6086753458, -27.3032848417, 2.487
J0106-4034, 16.6879498792, -40.5722111694, 0.584
J0107+1312, 16.9415079, 13.201442, 0.76
J0108+0135, 17.1615462917, 1.58342147222, 2.099
J0110-6315, 17.5696673708, -63.2656528083, 0.8
J0112+2244, 18.024270, 22.744107, 0.265
J0112+3208, 18.2097210833, 32.1381756944, 0.603
J0112+3522, 18.0539350125, 35.3720379389, 0.45
J0112-6634, 18.0788039292, -66.5792188417, 1.189
J0113+0222, 18.4297706375, 2.37147676111, 0.047
J0113-3551, 18.31606845, -35.8634353861, 1.22
J0115-2804, 18.8495151541, -28.0820066806, 3.0
J0116-1136, 19.0521751166, -11.6042873861, 0.671
J0116-2052, 19.2141885417, -20.8685782778, 1.41
J0117+1418, 19.3550133, 14.30345, 0.839
J0117-2111, 19.4532505833, -21.1851758445, 1.49
J0118-2141, 19.7385924333, -21.6917055833, 1.161
J0119+0829, 19.7553088708, 8.49852755556, 0.594
J0120-2701, 20.1319307917, -27.0235145556, 0.558
J0121+0422, 20.4869237416, 4.373537325, 0.637
J0121+1149, 20.4233126833, 11.8306703278, 0.57
J0124-5113, 21.2391311375, -51.2211576306, 1.104
J0125-0005, 21.3701826125, -0.0988700111111, 1.075
J0130+0842, 22.6151434999, 8.7128256, 0.725
J0132-1654, 23.1811977708, -16.9134782889, 1.02
J0133-5200, 23.2740106667, -52.001096, 0.02
J0134-3843, 23.6334589124, -38.7259395945, 2.14
J0136-4044, 24.0119023167, -40.7473052806, 0.649
J0137+3309, 24.422081, 33.1597591667, 0.367
